time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
10.7,17.96,7184,0.674941887801,0.465667045843,5018.02808601,0.3664934331,560.149287938,1245525.75159,136.451112138,95,-7.80121965789,-8.45821085571,21.3269033574,23.1229799194
11.2,17.86,7144,0.775126980444,0.470438821675,5041.22241307,0.368187438874,591.154367156,1246633.79683,136.572501844,97,-7.8107521597,-12.2832207649,21.2629794994,33.4382484516
11.7,17.76,7104,0.629922657229,0.47522965054,5064.04715615,0.369854451954,616.351273445,1247599.28526,136.678274021,82,-2.37216320541,-6.28379496818,6.42826168782,17.0282880857
12.2,17.66,7064,0.681840383263,0.480061236358,5086.72886045,0.371511018146,643.624888775,1248478.66036,136.774612222,91,-4.59191102667,-8.16805739613,12.3877121659,22.035170845
12.7,17.56,7024,0.629112537888,0.484725553322,5107.0684298,0.372996525694,668.789390291,1248734.43101,136.80263267,70,-4.82493216572,-5.86900573023,12.9614057121,15.766141737
13.2,17.46,6984,0.562401079136,0.48939569478,5126.90929851,0.374445610467,691.285433456,1248821.96584,136.812222375,74,-2.65517445589,-3.0138568222,7.10469567459,8.06445523042
13.7,17.36,6944,0.734191355874,0.494260213592,5148.21438477,0.37600163488,720.653087691,1249218.7846,136.85569507,88,-8.06256797596,-9.69479192233,21.4873677689,25.8373709343
14.2,17.26,6904,0.808879593238,0.499236674387,5170.09499995,0.377599693248,753.008271421,1249705.80174,136.90904927,99,-10.4745685483,-12.4855109972,27.7986998095,33.1355864997
14.7,17.16,6864,0.677062948969,0.504136695887,5190.59142086,0.379096656504,780.09078938,1249809.34827,136.920393106,80,-6.58609705686,-7.01530555057,17.4075031788,18.5419304662
15.2,17.06,6824,0.703800829644,0.509671742913,5216.99996046,0.381025413413,808.242822565,1251283.12166,137.081849436,85,-1.74349358541,-7.87618686886,4.58740419312,20.7234789794
15.7,16.96,6784,0.747350715757,0.51478717253,5238.47426766,0.382593796937,838.136851196,1251519.00414,137.107691076,100,-8.41972142365,-9.40512223752,22.052146697,24.6330163255
16.2,16.86,6744,0.542026855868,0.520242335856,5262.77146952,0.384368351557,859.81792543,1252376.64575,137.201648307,69,2.6161276186,-0.980789697912,-6.82205144996,2.55759609477
16.7,16.76,6704,0.737738062893,0.526066320128,5290.12291521,0.386365973941,889.327447946,1253902.70984,137.368833243,97,-2.15807682588,-8.58369538983,5.6000537526,22.2740705996
17.2,16.66,6664,0.710887263961,0.531610863643,5313.98219298,0.388108544623,917.762938504,1254542.83566,137.438960961,88,-4.5762127859,-7.28225582444,11.8175941912,18.8056692632
17.7,16.56,6624,0.703871940404,0.53685918163,5334.23282867,0.389587556871,945.917816121,1254279.30878,137.410090795,95,-7.90424192219,-6.78575255251,20.327328135,17.4509105536
18.2,16.46,6584,0.91159554217,0.543411752147,5366.73446421,0.391961325168,982.381637807,1256836.34238,137.690221558,107,-3.96218615222,-14.8588337875,10.139317561,38.024067666
18.7,16.36,6544,0.570036555653,0.549573575473,5394.61421684,0.393997532635,1005.18310003,1258243.39887,137.844368851,80,5.07829041086,-0.942125895351,-12.9225349659,2.39739239783
19.2,16.26,6504,0.680549415358,0.556027483811,5424.60413206,0.396187856563,1032.40507665,1260077.17965,138.04526508,86,2.7679386001,-5.11035867242,-7.00579544481,12.9345815356
19.7,16.16,6464,0.629270467845,0.562903381786,5457.91118979,0.398620449152,1057.57589536,1262610.61853,138.322810969,81,8.1362390217,-2.79265860682,-20.4734625021,7.02725068861
20.2,16.06,6424,0.693183674037,0.569481562238,5487.52433372,0.400783255457,1085.30324232,1264218.73354,138.498984832,89,1.88579696576,-5.0800559463,-4.71800907323,12.7096132205
20.7,15.96,6384,0.793541056938,0.577147031397,5526.75997266,0.403648844045,1117.0448846,1267966.93955,138.909612133,97,7.49399666349,-8.8096406046,-18.6317693392,21.9027575107
21.2,15.86,6344,0.718575939364,0.584182501704,5559.08068622,0.406009398643,1145.78792218,1270049.07168,139.137716003,91,3.57767597942,-5.51690422965,-8.83749659003,13.627735602
21.7,15.76,6304,0.686324827916,0.591295140537,5591.28684892,0.408361586979,1173.24091529,1272031.8452,139.354934838,94,4.75316958518,-3.94390133729,-11.6732292017,9.68576092941
22.2,15.66,6264,0.717654752052,0.598929358159,5627.54024926,0.41100936673,1201.94710537,1274858.10732,139.664560399,87,7.54721026458,-4.90223187218,-18.4219619463,11.9658424551
22.7,15.56,6224,0.651937543752,0.605829082061,5656.02031013,0.413089417917,1228.02460712,1275849.42988,139.773162783,93,2.40255911095,-1.9827530302,-5.83075513691,4.81193048002
23.2,15.46,6184,0.578653861731,0.613114776915,5687.25267066,0.415370484273,1251.17076159,1277392.17526,139.942175204,77,8.0862060671,1.23225849352,-19.5210559877,-2.97481746616
23.7,15.36,6144,0.743797940254,0.620937945179,5722.56410277,0.417949467044,1280.9226792,1279774.77334,140.203196028,100,5.55951449348,-5.07139696387,-13.3430490526,12.1715481691
24.2,15.26,6104,0.800430046914,0.628933887408,5758.51867311,0.420575421641,1312.93988108,1282219.97145,140.471074874,102,3.93736846432,-7.02031616149,-9.39117852662,16.7444431435
24.7,15.16,6064,0.664493972453,0.636624727257,5790.73851913,0.422928609344,1339.51963998,1283755.02775,140.639244933,85,5.6400871282,-1.2690846632,-13.3729938946,3.009077886
25.2,15.06,6024,0.601958719161,0.644215848732,5821.13440914,0.425148583782,1363.59798874,1284812.2743,140.75506949,79,6.31754124572,1.53798443651,-14.8985052232,-3.62699162051
25.7,14.96,5984,0.705227935801,0.652492446447,5856.77219931,0.427751402228,1391.80710618,1286949.37471,140.989195301,92,7.42867273373,-2.27551764358,-17.4197979964,5.33595422887
26.2,14.86,5944,0.616936279614,0.660229772124,5886.60864826,0.429930517693,1416.48455736,1287734.81958,141.075243162,81,5.15899776279,1.57650846631,-12.0300956403,-3.6762077635
26.7,14.76,5904,0.793535251811,0.668989150741,5924.56791896,0.432702886281,1448.22596743,1290217.6818,141.347248226,100,6.21786062799,-5.15765275567,-14.4159978024,11.9579249584
27.2,14.66,5864,0.763656840279,0.67745136753,5958.8622288,0.435207583173,1478.77224104,1291818.18305,141.522587977,96,3.74803622881,-3.6180300151,-8.63691903882,8.33733465016
27.7,14.56,5824,0.675039252918,0.685840885272,5991.50597374,0.43759173048,1505.77381116,1292981.51223,141.650034206,86,5.64217482182,0.263725961676,-12.9289167248,-0.604322110594
28.2,14.46,5784,0.667697161568,0.694276311017,6023.54127438,0.439931439847,1532.48169762,1293936.07451,141.75460939,84,5.3274141844,0.893909448136,-12.1419339444,-2.03734665559
28.7,14.36,5744,0.759521594026,0.703203757329,6058.80357314,0.442506834147,1562.86256139,1295503.43238,141.926318183,102,4.88143499943,-2.43186987736,-11.0635160402,5.51170534875
29.2,14.26,5704,0.878088642161,0.71262295149,6097.20197295,0.445311274682,1597.98610707,1297654.27055,142.161949008,109,3.27485411653,-6.80768221694,-7.3773086716,15.335758866
29.7,14.16,5664,0.840130484368,0.721890518048,6133.18184134,0.447939076931,1631.59132645,1299202.19382,142.331528683,98,2.37464901703,-4.91558756407,-5.31687228052,11.0060691388
30.2,14.06,5624,0.683072334851,0.730522438423,6162.68729054,0.450094017714,1658.91421984,1299298.92792,142.342126196,85,2.18255580442,1.72481892818,-4.86074693112,-3.84132597888
30.7,13.96,5584,1.00623739308,0.74059578639,6203.2303068,0.453055091061,1699.16371556,1301638.1017,142.598389757,113,0.293520543726,-10.8278705941,-0.649993541209,23.9780352743
31.2,13.86,5544,0.884247066616,0.750204854878,6238.70357317,0.455645893454,1734.53359823,1302822.46805,142.728140672,111,0.103383697493,-5.55452834851,-0.227541731009,12.2252059658
31.7,13.76,5504,1.0297113814,0.760723168072,6280.5304756,0.458700735875,1775.72205348,1305240.93319,142.99309084,114,0.638447178531,-10.9706800342,-1.39651015939,23.9967637707
32.2,13.66,5464,0.9081209785,0.770958416866,6318.77518464,0.461493951551,1812.04689262,1306818.99553,143.165972342,111,1.91986989637,-5.69193564693,-4.17274718622,12.3711552016
32.7,13.56,5424,1.15877186568,0.782267141515,6364.52546336,0.46483533913,1858.39776725,1309848.97087,143.497915301,130,-0.60059590071,-15.2872530464,1.29672224932,33.0060880082
33.2,13.46,5384,1.23781993323,0.793992952363,6412.28708328,0.468323625714,1907.91056458,1313182.43875,143.863106786,133,-1.75117741278,-17.9885419267,3.75322421743,38.5540783605
33.7,13.36,5344,1.15211647038,0.805476033949,6456.69588813,0.47156703828,1953.9952234,1315719.68414,144.141069691,124,-1.67585396321,-14.0961634374,3.56606151631,29.9953260042
34.2,13.26,5304,1.27491640222,0.817579734018,6504.66436384,0.47507043265,2004.99187948,1318871.98549,144.486413836,142,-3.02818037792,-18.5365164083,6.3977614893,39.1628621885
34.7,13.16,5264,1.13431606155,0.829127103577,6546.78760985,0.478146918627,2050.36452195,1320730.61939,144.690032799,120,-3.24939645922,-12.4393688377,6.81774509216,26.0997532642
35.2,13.06,5224,1.36453828166,0.841789328747,6596.26118006,0.4817602381,2104.94605321,1323961.52072,145.043987809,134,-5.10796104842,-21.1642401109,10.6426147834,44.0964315405
35.7,12.96,5184,1.11184196178,0.853562710508,6637.30363691,0.484757788264,2149.41973168,1325390.20069,145.200504019,124,-3.43122162449,-10.5675072916,7.10017098678,21.8671706132
36.2,12.86,5144,1.4232248047,0.866813934264,6688.33631678,0.488484977854,2206.34872387,1328701.67951,145.563286537,154,-5.89631231777,-22.5225631801,12.1168376957,46.283546026
36.7,12.76,5104,1.24386635249,0.879589920647,6734.14043247,0.491830297434,2256.10337797,1330856.87854,145.799395107,131,-3.95053840914,-14.8275747728,8.05973039229,30.2506247664
37.2,12.66,5064,1.24162975942,0.892439450481,6778.97006586,0.495104445359,2305.76856835,1332707.74556,146.002163185,135,-4.83555699126,-14.2255955759,9.79914229703,28.8278342206
37.7,12.56,5024,1.25643715137,0.905759876798,6825.80643155,0.498525155678,2356.0260544,1334839.74605,146.235730286,137,-3.42112036563,-14.294552408,6.88610798644,28.7723964605
38.2,12.46,4984,1.28749813884,0.919517180306,6874.31043996,0.502067662866,2407.52597996,1337180.09798,146.492122917,153,-2.99591713606,-14.9954923942,5.98828430613,29.9732161101
38.7,12.36,4944,1.38883514936,0.933549392183,6923.20229243,0.50563849638,2463.07938593,1339475.3855,146.743578604,154,-6.66155350641,-18.4932093488,13.2212221694,36.703575103
39.2,12.26,4904,1.39223949782,0.948325596046,6975.88308451,0.509486056421,2518.76896584,1342378.25515,147.061596752,166,-3.00878783181,-18.0533257875,5.92791854656,35.5686910296
39.7,12.16,4864,1.52971254925,0.963033963799,7026.29579988,0.513167966687,2579.95746781,1344716.9557,147.317808468,171,-10.7757866023,-22.962519543,21.0741587258,44.9076990343
40.2,12.06,4824,1.35096114554,0.978180164185,7078.11166804,0.516952356708,2633.99591364,1347196.72081,147.589474234,141,-2.22257765881,-15.2154264807,4.31518068003,29.5410664854
40.7,11.96,4784,1.65125257436,0.99447901661,7136.38142319,0.521208108617,2700.04601661,1350768.45227,147.980768215,166,-7.78034782717,-26.5983749335,14.9887191567,51.2413558825
41.2,11.86,4744,1.26997673124,1.01045350936,7190.38717263,0.525152437382,2750.84508586,1353393.65834,148.268367478,135,3.20668018981,-10.7017802332,-6.12920699671,20.4552441777
41.7,11.76,4704,1.5190608677,1.02701265809,7246.60131548,0.52925805693,2811.60752057,1356296.53266,148.586386137,153,-4.54829185351,-20.0145541241,8.62717485845,37.9634956824
42.2,11.66,4664,1.4322967852,1.04383768613,7302.68845219,0.53335440054,2868.89939198,1359034.68834,148.886359371,169,-1.20473469768,-15.876327474,2.26749590448,29.8816889683
42.7,11.56,4624,1.3378519173,1.06104674565,7359.4202278,0.537497825577,2922.41346867,1361750.5521,149.183890458,145,3.21769891271,-11.4178931802,-6.00960400369,21.3248717268
43.2,11.46,4584,1.50209685353,1.07939974575,7421.95265176,0.542064902992,2982.49734281,1365389.81735,149.582582971,166,2.44854982256,-17.2766426201,-4.53618813945,32.0067415499
43.7,11.36,4544,1.34419036604,1.09808588442,7484.55338823,0.546636969634,3036.26495745,1368884.62836,149.965450083,151,8.83312182436,-10.2196290013,-16.2268882721,18.7739715679
44.2,11.26,4504,1.49620386401,1.11724927825,7548.13612389,0.55128075693,3096.11311201,1372400.03096,150.350573068,158,3.73458109606,-15.5432362106,-6.8030254102,28.3140272437
44.7,11.16,4464,1.59089123985,1.13668827425,7611.26468436,0.555891373383,3159.7487616,1375672.3969,150.709070651,172,-0.507089119576,-18.5586986106,0.916007738439,33.5245046411
45.2,11.06,4424,1.60286693553,1.15759697753,7681.8135429,0.561043933896,3223.86343903,1380117.02927,151.195993566,180,6.43418111611,-18.2310450301,-11.5211347948,32.6447644931
45.7,10.96,4384,1.62382896467,1.1788044175,7751.81784947,0.566156722865,3288.81659761,1384286.54333,151.652776438,167,5.05114798122,-18.2272157488,-8.96228715078,32.3406762398
46.2,10.86,4344,1.27109310995,1.19906868375,7813.13154332,0.570634789901,3339.66032201,1386735.88763,151.921109513,150,10.4699694575,-3.28810397431,-18.4202104606,5.78488480498
46.7,10.76,4304,1.69175127746,1.22090224126,7882.14486956,0.575675202276,3407.33037311,1390383.68191,152.320736406,175,1.34327514035,-19.2727519934,-2.34365075681,33.6257244984
47.2,10.66,4264,1.60557755621,1.24295708743,7949.95353121,0.580627631552,3471.55347536,1393642.75613,152.677777841,167,3.58555939769,-14.9480315901,-6.20176530367,25.8548732266
47.7,10.56,4224,1.62243107383,1.26595529283,8021.09273538,0.585823308164,3536.45071831,1397306.08845,153.079106973,187,6.24196121972,-14.721261987,-10.7024839317,25.2411164255
48.2,10.46,4184,1.97444364832,1.29064407868,8100.08223781,0.59159233405,3615.42846424,1402144.00575,153.609115441,202,0.0117564992344,-27.848353961,-0.0199700068742,47.3042024626
48.695049505,10.360990099,4144.3960396,1.77918051537,1.31430458636,8170.49808379,0.596735179944,3685.89105891,1405394.03779,153.965166278,194,-0.0467486883405,-18.881731589,0.0786798046667,31.7786660103
49.195049505,10.260990099,4104.3960396,1.83647502669,1.3394987332,8246.74994339,0.60230426113,3759.35005998,1409368.00161,154.400526031,192,2.79285853245,-20.3855104148,-4.65849318509,34.0030689843
49.695049505,10.160990099,4064.3960396,2.0857456525,1.36617929758,8329.04058971,0.608314387212,3842.77988608,1414168.19561,154.926401797,206,-1.13917977776,-29.3191219867,1.88197956363,48.4365940123
50.1804863982,10.0639027204,4025.56108815,1.96233226051,1.39137454298,8401.59482892,0.613613411402,3918.98696416,1417385.83723,155.278904167,199,-3.65283887215,-22.6647353454,5.97881294835,37.0966850433
50.6683626727,9.96632746545,3986.53098618,1.90513652923,1.4178432977,8478.41435973,0.619223952654,3993.34463715,1421085.28155,155.684189477,191,2.46185781948,-19.5382565813,-3.99380792838,31.6964056264
51.1683626727,9.86632746545,3946.53098618,2.00420882491,1.44566059728,8558.01651402,0.625037723782,4073.51299015,1424816.29223,156.092932979,209,-0.566198708678,-22.9011742739,0.910095873562,36.8108649613
51.6468315723,9.77063368555,3908.25347422,2.24181070969,1.47496013044,8646.77708119,0.631520382792,4159.32392641,1430270.40422,156.690447439,215,2.94963090952,-29.9169665206,-4.69477836972,47.6173228505
52.0919189206,9.68161621587,3872.64648635,2.31429905265,1.50251619542,8728.07109734,0.637457719642,4241.7291447,1434935.07828,157.201476586,199,-1.11120214712,-29.3982048459,1.75133384096,46.3336676803
52.5392428889,9.59215142222,3836.86056889,2.47340949783,1.53137055297,8813.48293655,0.643695803137,4330.24237283,1440037.00965,157.760408594,215,-3.10138892059,-34.2306993922,4.84155702724,53.4373106479
52.9553582082,9.50892835837,3803.57134335,2.36105677174,1.55760899247,8886.71539184,0.649044361075,4408.84012423,1443591.74625,158.149840738,195,-5.36529610378,-27.1848783542,8.3006566243,42.0577608815
53.382143151,9.4235713698,3769.42854792,2.86882514023,1.5868715949,8972.39863753,0.655302266837,4506.78983411,1448775.11811,158.717694798,217,-12.266464192,-44.271577136,18.8085957053,67.8831472994
53.7754933288,9.34490133425,3737.9605337,2.67935419348,1.61443525269,9052.04288813,0.661119112484,4591.10378997,1453489.23083,159.2341401,199,-4.66970525991,-33.9466123723,7.09454485207,51.5740824413
54.1708201406,9.26583597188,3706.33438875,2.02905819366,1.64167418215,9126.89021463,0.666585613105,4655.27507851,1457229.5418,159.643902475,166,10.6760379694,-12.684137144,-16.0819461793,19.1068645001
54.6471175042,9.17057649916,3668.23059966,2.73584380592,1.67506567922,9216.79077144,0.673151531657,4759.52109387,1461480.04293,160.109557727,235,-14.3454585558,-41.0592818066,21.4153330179,61.2945337332
55.0524769626,9.08950460748,3635.80184299,2.56395503155,1.70449142748,9295.78961011,0.678921239418,4842.66696771,1465306.57079,160.528765424,190,-4.14703516382,-28.3506941147,6.13433722288,41.9366393899
55.4791711294,9.00416577413,3601.66630965,2.49015434432,1.73658872275,9381.91964468,0.685211776561,4927.66971435,1469612.25718,161.000466387,210,1.12728792038,-26.2739524147,-1.65275366431,38.5211003721
55.8855465262,8.92289069475,3569.1562779,2.7848813815,1.76885108758,9469.95894588,0.69164175766,5018.20629648,1474463.00388,161.531880355,216,-2.49728092875,-33.5582295833,3.62751863824,48.7462591325
56.2618200419,8.84763599162,3539.05439665,2.58178139026,1.79949713293,9552.77736007,0.697690429453,5095.92277331,1478983.13704,162.02707461,187,5.10193735979,-24.0116351559,-7.3444456367,34.5657221197
56.6642516094,8.76714967811,3506.85987125,3.06889361484,1.83355400492,9645.02544242,0.704427800352,5194.72434675,1484195.32811,162.598085901,229,-6.55349109567,-40.3222028392,9.34798643419,57.5161237934
57.0157202274,8.69685595453,3478.74238181,2.93338054969,1.86492389167,9731.38467121,0.710735076775,5277.20364337,1489469.31249,163.175866838,189,3.87993217518,-30.485406196,-5.48337189717,43.0839540645
57.3876446908,8.62247106184,3448.98842474,2.3940231236,1.8973353202,9815.83133582,0.716902668407,5348.43530462,1493815.58518,163.652014153,178,13.2150033636,-15.2628638666,-18.5131044737,21.3819842156
57.8055373463,8.53889253074,3415.55701229,2.84933035406,1.93418213121,9909.46401195,0.723741163596,5443.69244287,1498303.97497,164.143730825,217,-1.62446212466,-31.2138147034,2.25518908778,43.333145931
58.1906918675,8.46186162649,3384.7446506,2.89835468128,1.96988620398,10001.3426868,0.730451554688,5532.99759564,1503087.70675,164.667803105,204,2.57352206881,-29.161102861,-3.5394511834,40.1062424455
58.5682943393,8.38634113213,3354.53645285,2.87236260091,2.00697530864,10098.7077492,0.737562646013,5619.76649308,1508676.83552,165.280109062,202,10.5961649818,-26.7048582634,-14.4360524261,36.3822887417
58.9421581728,8.31156836544,3324.62734618,2.99822994793,2.04446669894,10195.6348435,0.744641750179,5709.44087243,1514089.89951,165.87312659,203,7.25271489382,-29.0897164502,-9.78638966725,39.251963528
59.310496925,8.23790061501,3295.160246,3.21728631063,2.0825703347,10293.6044646,0.751796995663,5804.24497044,1519592.85752,166.475992279,219,3.16552315528,-34.0010351917,-4.23074203882,45.4426020259
59.646879347,8.17062413059,3268.24965224,3.27444565941,2.11805637341,10383.5055087,0.758362949805,5892.36224739,1524507.46166,167.014402022,204,1.78376717159,-31.5988049767,-2.36235529481,41.848289079
59.9766660353,8.10466679293,3241.86671717,3.1458920735,2.15333094686,10471.2178915,0.764769054303,5975.36011368,1529100.53944,167.517587581,193,4.71451647965,-26.6540936528,-6.19055533852,34.9990592817
60.3184138989,8.03631722022,3214.52688809,3.78030994973,2.1919859205,10569.2965197,0.771932261149,6078.71314159,1534733.11825,168.134653621,232,-5.27439976025,-43.9555106011,6.86457375577,57.2076175885
60.6130241261,7.97739517479,3190.95806991,3.71211231587,2.22605349973,10654.8650685,0.778181789989,6166.2032418,1539586.49725,168.666355965,190,-1.92155134107,-35.4278221802,2.47923865945,45.7099555407
60.9231401547,7.91537196906,3166.14878763,3.78150337147,2.26178450762,10741.719415,0.784525227505,6260.01962642,1544081.04454,169.158747211,203,-6.96203815661,-38.1482888146,8.91022831365,48.8233410198
61.2286731878,7.85426536244,3141.70614498,3.77332591635,2.29913266611,10834.7988379,0.791323315648,6352.2496834,1549434.78281,169.745265426,197,0.849365887634,-36.4916897836,-1.07797908793,46.3137018366
61.5388590082,7.79222819836,3116.89127934,3.67188577639,2.33685257419,10925.5731144,0.797953046625,6443.36703556,1554177.93136,170.264891691,200,-0.343075634455,-33.598757504,0.431738170402,42.2818312806
61.8490448286,7.73019103427,3092.07641371,4.14370203202,2.37586046322,11019.5131509,0.804813989984,6546.19244471,1559210.05625,170.816176189,221,-8.88537267656,-44.3549355493,11.0875410757,55.3479508078
62.1297559784,7.67404880433,3069.61952173,3.77005722829,2.41228086875,11107.1766699,0.811216525704,6630.85621263,1563995.33319,171.340417746,180,2.99975115998,-30.9020926619,-3.71249321206,38.2444419977
62.4416572558,7.61166854884,3044.66741954,3.98963522167,2.45361825908,11205.6773601,0.818410557997,6730.40599841,1569302.84269,171.92187146,215,-1.04909561713,-38.8449871461,1.28752845068,47.6734677947
62.731797979,7.5536404042,3021.45616168,4.40345221017,2.49304218625,11298.9265124,0.825221042393,6832.61566312,1574309.52577,172.47036873,223,-8.96051236331,-44.8025633651,10.9033099159,54.5165514637
62.9920138743,7.50159722515,3000.63889006,4.44717863116,2.52915326944,11383.6134888,0.831406185277,6925.19378863,1578815.46451,172.964007944,210,-7.89114914061,-40.3054066361,9.52676499433,48.6595969967
63.2398385364,7.45203229272,2980.81291709,4.40391170996,2.56619359613,11474.0145286,0.83800865678,7012.50562316,1584335.97155,173.568796183,186,3.08920528548,-36.8032333346,-3.70094383691,44.0911778276
63.5063166678,7.39873666645,2959.49466658,4.7594978435,2.60571710317,11567.4088042,0.8448297403,7113.96979048,1589607.36509,174.146293284,211,-8.06989176014,-46.3379100745,9.59081011479,55.0711347625
63.7589025742,7.34821948515,2939.28779406,4.68326129331,2.64436793814,11658.8376054,0.851507274713,7208.60385441,1594870.41345,174.722876145,193,-3.20526274655,-41.5917668436,3.7790400353,49.0371506081
64.0206496276,7.29587007448,2918.34802979,4.55417030238,2.68366976384,11747.8235519,0.858006394382,7303.96710697,1599401.66727,175.219288701,201,-6.3773060569,-39.5809878904,7.46095942044,46.3067229072
64.2810944568,7.24378110864,2897.51244346,4.17671474476,2.7244240916,11841.07906,0.864817342972,7390.99140764,1604415.66965,175.768587823,189,6.23120742239,-30.6856632948,-7.23371438098,35.6225220601
64.5566974507,7.18866050987,2875.46420395,4.89161161975,2.76988770376,11947.0694117,0.87255838531,7498.84283222,1610554.54673,176.441120369,240,-1.86107288635,-47.2837944551,2.14239540251,54.4312824053
64.7863666122,7.14272667755,2857.09067102,4.30937683709,2.80727583689,12030.9624069,0.878685539502,7578.02130942,1614947.68945,176.922402437,176,4.71451799643,-27.9436459896,-5.38419340633,31.9129112668
65.0473542958,7.09052914084,2836.21165633,4.34653503429,2.85157768678,12131.5168113,0.886029565533,7668.77267824,1620502.12063,177.530907168,203,9.8030356012,-31.6777376577,-11.1100489515,35.9012483854
65.3044850186,7.03910299629,2815.64119851,4.51408232102,2.8947120446,12225.7057359,0.892908686526,7761.62941822,1625177.82097,178.043144279,217,1.3321846563,-33.7566579323,-1.4977300699,37.9514667169
65.5414718598,6.99170562804,2796.68225122,5.23261694672,2.93855472407,12327.3057616,0.900329079868,7860.83432715,1631319.37122,178.715969678,213,2.3951167064,-43.9103838278,-2.67127622592,48.9732980765
65.7639947154,6.94720105691,2778.88042277,4.83235267056,2.97884420401,12416.7777615,0.906863698618,7946.8590404,1636179.2795,179.248387325,173,3.44728667585,-33.3558089177,-3.81507354045,36.9145000077
66.0212465716,6.89575068567,2758.30027427,5.5801624853,3.02899791038,12532.3286504,0.915302998132,8061.69961299,1643242.06853,180.022137218,219,0.710316356467,-53.0218908575,-0.779639269814,58.1965315819
